table_id,page,row_index,Frame,[Ie] Rated operational current (Ue ≤ 440 V),col_2,"Motor Power at 415V, 3Ph, 50Hz",col_4,Auxiliary Contacts,col_6,Reference,Unit MRP [`],col_9,col_10,col_11,col_1,col_5,Breaking Capacity at 50 Hz,Thermal Protection Adjustment Range (A),Magnetic Protection (A),No of Poles,AC Control Reference,col_3,DC Control Reference (4),Unit MRP [`]__1,col_8,DC low consumption Reference (1) (2) (3),Motor Power kW) at 380/415V,DC Control Reference(5),Nominal Reactive Power 440V,AC-1 Rated Operational Current [Ie],AC-3 Duty,col_7,Motor Power (Long Life) AC3,[Ie] Rated Operational Current AC1,Poles Composotion,AC control Reference,Unit MRP [`] M7 (220V),DC control Reference,AC3 Duty (Long Life),[Ie] Rated Operational Current AC-1,AC & DC Control Reference,Description,For use with,Motor Power (Long Life) AC-3 kW (@415V) A,Standard version Reference,Power Pole Composition,Pole Composition,Control modules for Standard contactors,Breaking Capacity at 50Hz,Magnetic Protection Rating (A),Thermal Protection Adjustment Range,Breaking Capacity at 415V 50Hz,Motor Power AC-3**,KW,Max. Continuous Current (A),kW,Max. continuous current(A),Nominal Power in kW,Nominal Current (Amps),Range,Voltage,Output,Dimension wxhxd (mm),Cable Gland type ISO standard,Number of Cut outs,Number of rows,[In] Rated Current (A),1 Pole Reference,2 Pole Reference,3 Pole Reference,Unit MRP [`]__2,4 Pole Reference,Unit MRP [`]__3,Module Width 18mm/ module,Module Width 18mm/ module__1,Earth-Leakage Sensitivity (mA),Module Width 18mm/module,Module Width 18mm/module__1,Type,[Ue] Rated Operational Voltage (V),Poles Description,IP Rating,Module Width,No. of Gangs
p210_t01,210,13,,,,,,,,,820,,,,,,,,,,,,,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A9N1P01CGN (cid:2),A9N2P01CGN (cid:2),A9N3P01CGN (cid:2),3528,A9N4P01CGN (cid:2),4440,,,,,,,,,,,
p210_t01,210,14,,,,,,,,,820,,,,,,,,,,,,,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,A9N1P02CGN (cid:2),A9N2P02CGN,A9N3P02CGN (cid:2),3528,A9N4P02CGN (cid:2),4440,,,,,,,,,,,
p210_t01,210,15,,,,,,,,,820,,,,,,,,,,,,,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,A9N1P03CGN (cid:2),A9N2P03CGN (cid:2),A9N3P03CGN (cid:2),3528,-,-,,,,,,,,,,,
p210_t01,210,16,,,,,,,,,820,,,,,,,,,,,,,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,A9N1P04CGN (cid:2),A9N2P04CGN (cid:2),A9N3P04CGN (cid:2),3528,A9N4P04CGN (cid:2),4440,,,,,,,,,,,
p210_t01,210,17,,,,,,,,,486,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,A9N1P06CGN (cid:2),A9N2P06CGN (cid:2),A9N3P06CGN (cid:2),2678,A9N4P06CGN (cid:2),3609,,,,,,,,,,,
p210_t01,210,18,,,,,,,,,486,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,A9N1P10CGN (cid:2),A9N2P10CGN (cid:2),A9N3P10CGN (cid:2),2678,A9N4P10CGN (cid:2),3609,,,,,,,,,,,
p210_t01,210,19,,,,,,,,,486,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,A9N1P16CGN (cid:2),A9N2P16CGN (cid:2),A9N3P16CGN (cid:2),2678,A9N4P16CGN (cid:2),3609,,,,,,,,,,,
p210_t01,210,20,,,,,,,,,486,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,A9N1P20CGN (cid:2),A9N2P20CGN (cid:2),A9N3P20CGN (cid:2),2678,A9N4P20CGN (cid:2),3609,,,,,,,,,,,
p210_t01,210,21,,,,,,,,,486,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,A9N1P25CGN (cid:2),A9N2P25CGN (cid:2),A9N3P25CGN (cid:2),2678,A9N4P25CGN (cid:2),3609,,,,,,,,,,,
p210_t01,210,22,,,,,,,,,486,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,A9N1P32CGN (cid:2),A9N2P32CGN (cid:2),A9N3P32CGN (cid:2),2678,A9N4P32CGN (cid:2),3609,,,,,,,,,,,
p210_t01,210,23,,,,,,,,,1161,,,,,,,,,,,,,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,A9N1P40CGN (cid:2),A9N2P40CGN (cid:2),A9N3P40CGN (cid:2),4079,A9N4P40CGN (cid:2),5243,,,,,,,,,,,
p210_t01,210,24,,,,,,,,,1161,,,,,,,,,,,,,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,A9N1P50CGN,A9N2P50CGN,A9N3P50CGN,4079,A9N4P50CGN,5243,,,,,,,,,,,
p210_t01,210,25,,,,,,,,,1177,,,,,,,,,,,,,2621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,A9N1P63CGN (cid:2),A9N2P63CGN (cid:2),A9N3P63CGN (cid:2),4214,A9N4P63CGN (cid:2),5460,,,,,,,,,,,
p210_t01,210,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D curve,,,,,,,,,,,,,,,,,
p210_t01,210,27,,,,,,,,,828,,,,,,,,,,,,,2259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,A9N1P02DGN (cid:2),A9N2P02DGN (cid:2),-,-,-,-,,,,,,,,,,,
p210_t01,210,28,,,,,,,,,828,,,,,,,,,,,,,2259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,A9N1P03DGN (cid:2),A9N2P03DGN,A9N3P03DGN (cid:2),3582,-,-,,,,,,,,,,,
p210_t01,210,29,,,,,,,,,828,,,,,,,,,,,,,2259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,A9N1P04DGN (cid:2),A9N2P04DGN (cid:2),A9N3P04DGN (cid:2),3582,-,-,,,,,,,,,,,
p210_t01,210,30,,,,,,,,,698,,,,,,,,,,,,,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,A9N1P06DGN (cid:2),A9N2P06DGN (cid:2),A9N3P06DGN (cid:2),2821,-,-,,,,,,,,,,,
p210_t01,210,31,,,,,,,,,698,,,,,,,,,,,,,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,A9N1P10DGN (cid:2),A9N2P10DGN (cid:2),A9N3P10DGN (cid:2),2821,-,-,,,,,,,,,,,
p210_t01,210,32,,,,,,,,,698,,,,,,,,,,,,,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,A9N1P16DGN (cid:2),A9N2P16DGN (cid:2),A9N3P16DGN (cid:2),2821,A9N4P16DGN (cid:2),3742,,,,,,,,,,,
p210_t01,210,33,,,,,,,,,698,,,,,,,,,,,,,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,A9N1P20DGN (cid:2),A9N2P20DGN (cid:2),A9N3P20DGN (cid:2),2821,A9N4P20DGN (cid:2),3742,,,,,,,,,,,
p210_t01,210,34,,,,,,,,,698,,,,,,,,,,,,,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,A9N1P25DGN (cid:2),A9N2P25DGN (cid:2),A9N3P25DGN (cid:2),2821,A9N4P25DGN (cid:2),3742,,,,,,,,,,,
p210_t01,210,35,,,,,,,,,698,,,,,,,,,,,,,1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,A9N1P32DGN (cid:2),A9N2P32DGN (cid:2),A9N3P32DGN (cid:2),2821,A9N4P32DGN (cid:2),3742,,,,,,,,,,,
p210_t01,210,36,,,,,,,,,1254,,,,,,,,,,,,,2747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,A9N1P40DGN (cid:2),A9N2P40DGN (cid:2),A9N3P40DGN (cid:2),4322,A9N4P40DGN (cid:2),5419,,,,,,,,,,,
p210_t01,210,37,,,,,,,,,-,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,-,-,A9N3P50DGN,4322,-,-,,,,,,,,,,,
p210_t01,210,38,,,,,,,,,1268,,,,,,,,,,,,,2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,A9N1P63DGN (cid:2),A9N2P63DGN (cid:2),A9N3P63DGN (cid:2),4360,A9N4P63DGN (cid:2),5475,,,,,,,,,,,
p211_t01,211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Module Width**,1 mod,2 mod,3 mod,,4 mod,,,,,,,,,,,,
p211_t01,211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOQ,12 Nos.,6 Nos.,4 Nos.,,3 Nos.,,,,,,,,,,,,
p211_t01,211,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B curve,,,,,,,,,,,,,,,,,
p211_t01,211,3,,,,,,,,,551,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,A9N1P06BIN (cid:2),A9N2P06BIN (cid:2),A9N3P06BIN (cid:2),2759,-,-,,,,,,,,,,,
p211_t01,211,4,,,,,,,,,551,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,A9N1P10BIN (cid:2),A9N2P10BIN (cid:2),A9N3P10BIN (cid:2),2759,-,-,,,,,,,,,,,
p211_t01,211,5,,,,,,,,,551,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,A9N1P16BIN (cid:2),A9N2P16BIN (cid:2),A9N3P16BIN (cid:2),2759,-,-,,,,,,,,,,,
p211_t01,211,6,,,,,,,,,551,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,A9N1P20BIN (cid:2),A9N2P20BIN (cid:2),-,-,-,-,,,,,,,,,,,
p211_t01,211,7,,,,,,,,,551,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,A9N1P25BIN (cid:2),-,A9N3P25BIN (cid:2),2759,-,-,,,,,,,,,,,
p211_t01,211,8,,,,,,,,,551,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,A9N1P32BIN (cid:2),-,A9N3P32BIN (cid:2),2759,A9N4P32BIN (cid:2),3718,,,,,,,,,,,
p211_t01,211,9,,,,,,,,,1196,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,A9N1P40BIN (cid:2),-,-,-,A9N4P40BIN (cid:2),5351,,,,,,,,,,,
p211_t01,211,10,,,,,,,,,1212,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,A9N1P63BIN (cid:2),-,A9N3P63BIN (cid:2),4238,A9N4P63BIN (cid:2),5401,,,,,,,,,,,
p211_t01,211,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C curve,,,,,,,,,,,,,,,,,
p211_t01,211,12,,,,,,,,,845,,,,,,,,,,,,,2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A9N1P01CIN (cid:2),A9N2P01CIN (cid:2),A9N3P01CIN (cid:2),3634,A9N4P01CIN (cid:2),4573,,,,,,,,,,,
p211_t01,211,13,,,,,,,,,845,,,,,,,,,,,,,2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,A9N1P02CIN (cid:2),A9N2P02CIN (cid:2),A9N3P02CIN (cid:2),3634,A9N4P02CIN (cid:2),4573,,,,,,,,,,,
p211_t01,211,14,,,,,,,,,845,,,,,,,,,,,,,2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,A9N1P03CIN (cid:2),A9N2P03CIN (cid:2),A9N3P03CIN (cid:2),3634,-,-,,,,,,,,,,,
p211_t01,211,15,,,,,,,,,845,,,,,,,,,,,,,2303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,A9N1P04CIN (cid:2),A9N2P04CIN (cid:2),A9N3P04CIN (cid:2),3634,A9N4P04CIN (cid:2),4573,,,,,,,,,,,
p211_t01,211,16,,,,,,,,,501,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,A9N1P06CIN (cid:2),A9N2P06CIN (cid:2),A9N3P06CIN (cid:2),2759,A9N4P06CIN (cid:2),3718,,,,,,,,,,,
p211_t01,211,17,,,,,,,,,501,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,A9N1P10CIN (cid:2),A9N2P10CIN (cid:2),A9N3P10CIN (cid:2),2759,A9N4P10CIN (cid:2),3718,,,,,,,,,,,
p211_t01,211,18,,,,,,,,,501,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,A9N1P16CIN (cid:2),A9N2P16CIN (cid:2),A9N3P16CIN (cid:2),2759,A9N4P16CIN (cid:2),3718,,,,,,,,,,,
p211_t01,211,19,,,,,,,,,501,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,A9N1P20CIN (cid:2),A9N2P20CIN (cid:2),A9N3P20CIN (cid:2),2759,A9N4P20CIN (cid:2),3718,,,,,,,,,,,
p211_t01,211,20,,,,,,,,,501,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,A9N1P25CIN (cid:2),A9N2P25CIN (cid:2),A9N3P25CIN (cid:2),2759,A9N4P25CIN (cid:2),3718,,,,,,,,,,,
p211_t01,211,21,,,,,,,,,501,,,,,,,,,,,,,1662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,A9N1P32CIN (cid:2),A9N2P32CIN (cid:2),A9N3P32CIN (cid:2),2759,A9N4P32CIN (cid:2),3718,,,,,,,,,,,
p211_t01,211,22,,,,,,,,,1196,,,,,,,,,,,,,2677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,A9N1P40CIN (cid:2),A9N2P40CIN (cid:2),A9N3P40CIN (cid:2),4201,A9N4P40CIN (cid:2),5401,,,,,,,,,,,
p211_t01,211,23,,,,,,,,,1196,,,,,,,,,,,,,2677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,A9N1P50CIN,A9N2P50CIN,A9N3P50CIN,4201,A9N4P50CIN,5401,,,,,,,,,,,
p211_t01,211,24,,,,,,,,,1212,,,,,,,,,,,,,2702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,A9N1P63CIN (cid:2),A9N2P63CIN (cid:2),A9N3P63CIN (cid:2),4341,A9N4P63CIN (cid:2),5625,,,,,,,,,,,
p211_t01,211,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D curve,,,,,,,,,,,,,,,,,
p211_t01,211,26,,,,,,,,,852,,,,,,,,,,,,,2327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,A9N1P02DIN (cid:2),A9N2P02DIN (cid:2),-,-,-,-,,,,,,,,,,,
p211_t01,211,27,,,,,,,,,852,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,A9N1P03DIN (cid:2),-,A9N3P03DIN (cid:2),3690,-,-,,,,,,,,,,,
p211_t01,211,28,,,,,,,,,852,,,,,,,,,,,,,2327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,A9N1P04DIN (cid:2),A9N2P04DIN (cid:2),A9N3P04DIN (cid:2),3690,-,-,,,,,,,,,,,
p211_t01,211,29,,,,,,,,,719,,,,,,,,,,,,,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,A9N1P06DIN (cid:2),A9N2P06DIN (cid:2),A9N3P06DIN (cid:2),2907,-,-,,,,,,,,,,,
