table_id,page,row_index,Frame,[Ie] Rated operational current (Ue ≤ 440 V),col_2,"Motor Power at 415V, 3Ph, 50Hz",col_4,Auxiliary Contacts,col_6,Reference,Unit MRP [`],col_9,col_10,col_11,col_1,col_5,Breaking Capacity at 50 Hz,Thermal Protection Adjustment Range (A),Magnetic Protection (A),No of Poles,AC Control Reference,col_3,DC Control Reference (4),Unit MRP [`]__1,col_8,DC low consumption Reference (1) (2) (3),Motor Power kW) at 380/415V,DC Control Reference(5),Nominal Reactive Power 440V,AC-1 Rated Operational Current [Ie],AC-3 Duty,col_7,Motor Power (Long Life) AC3,[Ie] Rated Operational Current AC1,Poles Composotion,AC control Reference,Unit MRP [`] M7 (220V),DC control Reference,AC3 Duty (Long Life),[Ie] Rated Operational Current AC-1,AC & DC Control Reference,Description,For use with,Motor Power (Long Life) AC-3 kW (@415V) A,Standard version Reference,Power Pole Composition,Pole Composition,Control modules for Standard contactors,Breaking Capacity at 50Hz,Magnetic Protection Rating (A),Thermal Protection Adjustment Range,Breaking Capacity at 415V 50Hz,Motor Power AC-3**,KW,Max. Continuous Current (A),kW,Max. continuous current(A),Nominal Power in kW,Nominal Current (Amps),Range,Voltage,Output,Dimension wxhxd (mm),Cable Gland type ISO standard,Number of Cut outs,Number of rows,[In] Rated Current (A),1 Pole Reference,2 Pole Reference,3 Pole Reference,Unit MRP [`]__2,4 Pole Reference,Unit MRP [`]__3,Module Width 18mm/ module,Module Width 18mm/ module__1,Earth-Leakage Sensitivity (mA),Module Width 18mm/module,Module Width 18mm/module__1,Type,[Ue] Rated Operational Voltage (V),Poles Description,IP Rating,Module Width,No. of Gangs
p214_t01,214,8,,,,,,,,,8663,,,,,,,,,,,,,9918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[In] Rated Current (A),,A9N16210,,,A9N16260,,,,300,2,4,,,,,,
p214_t01,214,9,,,,,,,,,13274,,,,,,,,,,,,,15723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,A9N16212,,,A9N16261,,,,30,2,4,,,,,,
p214_t01,214,10,,,,,,,,,13496,,,,,,,,,,,,,15976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[In] Rated Current (A),,A9N16213,,,A9N16262,,,,100,2,4,,,,,,
p214_t01,214,11,,,,,,,,,-,,,,,,,,,,,,,16062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[In] Rated Current (A),,-,,,A9N16263,,,,300,2,4,,,,,,
p217_t01,217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indication Auxiliaries,,,,,
p223_t02,223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Module Width **,,4.5 mod,5.5 mod,,6.5 mod,,,,,,,,,,,,
p223_t02,223,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B Curve,,,,,,,,,,,,,,,,,
p237_t02,237,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busbars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p242_t01,242,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PratiKa Screw,,,,,,,,,,,,,,,,,
p242_t01,242,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP44,,,,,,,,,,,,,,,,,
p242_t02,242,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP44,,,,,,,,,,,,,,,,,
p243_t02,243,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PratiKa Screw,,,,,,,,,,,,,,,,,
p243_t02,243,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP44,,,,,,,,,,,,,,,,,
p244_t01,244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PratiKa Screw,,,,,,,,,,,,,,,,,
p244_t01,244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP44,,,,,,,,,,,,,,,,,
p244_t02,244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PratiKa Screw,,,,,,,,,,,,,,,,,
p244_t02,244,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP44,,,,,,,,,,,,,,,,,
p245_t01,245,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP44,,,,,,,,,,,,,,,,,
p247_t01,247,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface Switches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p247_t01,247,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pole Switches Less Enclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p247_t02,247,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP66 Industrial Combination Switch Sockets with Enclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p247_t02,247,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Single Pole Switches Less Enclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p248_t01,248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface Socket Outlets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p248_t01,248,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Pin Sockets Less Enclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p248_t02,248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p248_t02,248,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Pin Angle Plugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p249_t01,249,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Switchgear Cover Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p249_t02,249,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flush Surrounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
